"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"9056","7.221739032","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000035000000140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003100000000000000010000001c000000ffffffffffffffffffffffff32000000000000000300000010000000"
"9064","7.223352741","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000035000000140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003100000000000000010000001c000000ffffffffffffffffffffffff32000000000000000300000010000000"
"9074","7.225444559","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000035000000140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003100000000000000010000001c000000ffffffffffffffffffffffff32000000000000000300000010000000"
"9163","7.246786258","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000035000000140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"9235","7.273027041","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000036000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"9240","7.274064898","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000036000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"9345","7.304043788","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000036000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003200000000000000010000001c000000ffffffffffffffffffffffff"
"9349","7.324432508","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000037000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003200000000000000010000001c000000ffffffffffffffffffffffff"
"9446","7.350705645","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000037000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003300000000000000010000001c000000ffffffffffffffffffffffff"
"9453","7.355132444","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000037000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003300000000000000010000001c000000ffffffffffffffffffffffff"
"9463","7.356743937","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000037000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003300000000000000010000001c000000ffffffffffffffffffffffff"
"9542","7.377874269","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000038000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"9631","7.403152471","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000038000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003400000000000000010000001c000000ffffffffffffffffffffffff"
"9644","7.429024639","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000039000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003400000000000000010000001c000000ffffffffffffffffffffffff"
"9645","7.429074591","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000039000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003400000000000000010000001c000000ffffffffffffffffffffffff"
"9737","7.459374148","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000039000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003500000000000000010000001c000000ffffffffffffffffffffffff"
"9823","7.480988235","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef02580002020001000000003a000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"9924","7.506702615","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003a000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003600000000000000010000001c000000ffffffffffffffffffffffff"
"9944","7.532125488","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef02580002020001000000003b000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"9945","7.532310596","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef02580002020001000000003b000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"10021","7.559534635","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef02580002020001000000003b000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"10031","7.561449961","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef02580002020001000000003b000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"10133","7.586045126","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003c000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003700000000000000010000001c000000ffffffffffffffffffffffff"
"10152","7.590594877","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003c000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003700000000000000010000001c000000ffffffffffffffffffffffff"
"10218","7.609530992","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003c000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003800000000000000010000001c000000ffffffffffffffffffffffff"
"10231","7.612122650","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003c000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003800000000000000010000001c000000ffffffffffffffffffffffff"
"10237","7.635624716","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003d000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003800000000000000010000001c000000ffffffffffffffffffffffff"
"10238","7.635774454","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003d000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003800000000000000010000001c000000ffffffffffffffffffffffff"
"10327","7.662731307","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef02580002020001000000003e000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"10425","7.687895332","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003e000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003900000000000000010000001c000000ffffffffffffffffffffffff"
"10426","7.688520617","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003e000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003900000000000000010000001c000000ffffffffffffffffffffffff"
"10516","7.713760629","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef02580002020001000000003f000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"10526","7.738838036","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef02740002020001010000003f000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003a00000000000000010000001c000000ffffffffffffffffffffffff"
"10640","7.765384900","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000040000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"10649","7.766791275","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000040000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"10731","7.790020994","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000040000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003b00000000000000010000001c000000ffffffffffffffffffffffff"
"10739","7.791868038","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000040000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003b00000000000000010000001c000000ffffffffffffffffffffffff"
"10843","7.817683669","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000041000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"10856","7.842274560","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000041000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"10866","7.868786288","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000042000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003c00000000000000000000001c000000ffffffffffffffff7ffeffff"
"10875","7.870377073","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000042000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003c00000000000000000000001c000000ffffffffffffffff7ffeffff"
"10894","7.874482398","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000042000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003c00000000000000000000001c000000ffffffffffffffff7ffeffff"
"10904","7.876705144","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000042000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003c00000000000000000000001c000000ffffffffffffffff7ffeffff"
"10961","7.893766022","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000042000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003c00000000000000010000001c000000ffffffffffffffffffffffff"
"10969","7.895402894","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000042000000140066147e808080020200000000000000000000fe990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003c00000000000000010000001c000000ffffffffffffffffffffffff"
"11038","7.919217310","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"11042","7.946210362","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003d00000000000000010000001c000000ffffffffffffffffffffffff3e000000000000000300000010000000"
"11067","7.972420029","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"11075","7.974077014","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"11175","7.998531865","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"11246","8.024161392","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003e00000000000000010000001c000000ffffffffffffffffffffffff"
"11258","8.026665206","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003e00000000000000010000001c000000ffffffffffffffffffffffff"
"11283","8.032055544","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003e00000000000000010000001c000000ffffffffffffffffffffffff"
"11350","8.048629032","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"11364","8.075923917","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003f00000000000000000000001c000000ffffffffffffff1f00ffffff"
"11444","8.101817679","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00003f00000000000000010000001c000000ffffffffffffffffffffffff"
"11532","8.128230560","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"11650","8.155024601","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004000000000000000010000001c000000ffffffffffffffffffffffff"
"11651","8.155395405","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004000000000000000010000001c000000ffffffffffffffffffffffff"
"11655","8.179006587","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004000000000000000010000001c000000ffffffffffffffffffffffff"
"11745","8.205416712","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004100000000000000010000001c000000ffffffffffffffffffffffff"
"11910","8.257152929","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027499dd17da096ce4486544000000080000000000000000000000004000008039928d50317fa898e304000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004200000000000000010000001c000000ffffffffffffffffffffffff"
"11927","8.262589727","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004200000000000000010000001c000000ffffffffffffffffffffffff"
"11998","8.307617221","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12006","8.309276943","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12028","8.313815883","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12159","8.347491506","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004300000000000000010000001c000000ffffffffffffffffffffffff"
"12217","8.360686039","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004400000000000000010000001c000000ffffffffffffffffffffffff"
"12257","8.385332069","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12321","8.410862701","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12429","8.438616117","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 [BAD UDP LENGTH 61491 > IP PAYLOAD LENGTH] Len=61483","985bb6bb4e71a412cd212daeec2dd50390230bd57364038084b68b9901f32bbbc6042d0e0c0027f41fd9495996c5b29843bdcbd2c6a9f891addfc5fcae610effe41eab4800f99ce5cb87fd71a01c861e6eff54a353738086b678684ca5cca60ec29826ab5c75cff67b407403e45c1a61b581317b"
"12468","8.446779678","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004500000000000000010000001c000000ffffffffffffffffffffffff"
"12482","8.462368200","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12534","8.488048231","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004600000000000000010000001c000000ffffffffffffffffffffffff"
"12606","8.514177794","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 [BAD UDP LENGTH 49305 > IP PAYLOAD LENGTH] Len=49297","eb66e09b75ba589aebfaa1e2d3a7dff77cbf9425bc927e3714737ec391f5b60d0e904a2e1231bf6b04f5bb30417ac84fa8dffdc8e2a077715942af983f62efd6f226d873c9457b0ca5c415cece577894dabdac8d1a6da325"
"12617","8.516843703","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12627","8.518779855","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12776","8.557041595","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004700000000000000010000001c000000ffffffffffffffffffffffff"
"12812","8.564626847","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12856","8.590607538","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004800000000000000010000001c000000ffffffffffffffffffffffff"
"12936","8.618450591","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12952","8.622302478","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"12988","8.642136162","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"13008","8.667517174","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004900000000000000010000001c000000ffffffffffffffffffffffff4a000000000000000300000010000000"
"13018","8.670079371","192.168.169.2","192.168.169.1","UDP","258","59377  >  8800 Len=132","ef028400020200010200000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004900000000000000010000001c000000ffffffffffffffffffffffff4a000000000000000300000010000000"
"13105","8.693108677","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"13186","8.720269056","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"13301","8.756246557","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004a00000000000000010000001c000000ffffffffffffffffffffffff"
"13306","8.771337043","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004a00000000000000010000001c000000ffffffffffffffffffffffff"
"13309","8.771643822","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004a00000000000000010000001c000000ffffffffffffffffffffffff"
"13376","8.796995719","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004b00000000000000010000001c000000ffffffffffffffffffffffff"
"13479","8.823574418","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"13609","8.864670091","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004c00000000000000010000001c000000ffffffffffffffffffffffff"
"13613","8.875274827","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004c00000000000000010000001c000000ffffffffffffffffffffffff"
"13690","8.901085732","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004d00000000000000010000001c000000ffffffffffffffffffffffff"
"13697","8.902575831","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004d00000000000000010000001c000000ffffffffffffffffffffffff"
"13707","8.905003721","192.168.169.2","192.168.169.1","UDP","242","59377  >  8800 Len=116","ef027400020200010100000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00004d00000000000000010000001c000000ffffffffffffffffffffffff"
"13803","8.927342592","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"13804","8.927586130","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"13809","8.929342809","192.168.169.2","192.168.169.1","UDP","214","59377  >  8800 Len=88","ef025800020200010000000043000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
